#date,total,failure,success,github-unique,github-dupe,other,none
2019-05-06,534,20,237,257,393,63,78
2019-05-07,532,19,236,255,391,63,78
2019-05-08,533,19,237,256,392,63,78
2019-05-09,533,19,238,257,392,63,78
2019-05-10,533,19,238,257,392,63,78
2019-05-11,533,19,238,257,392,63,78
2019-05-12,533,19,238,257,392,63,78
2019-05-13,534,19,239,258,393,63,78
2019-05-14,534,19,239,258,393,63,78
2019-05-15,534,19,239,258,393,63,78
2019-05-16,534,19,240,259,394,62,78
2019-05-17,535,19,241,260,395,62,78
2019-05-18,535,19,241,260,395,62,78
2019-05-19,535,18,241,259,395,62,78
