#date,total,github-unique,github-dupe,other,none
2019-04-30,532,254,138,63,77
2019-05-01,532,254,138,63,77
2019-05-02,534,255,138,63,78
2019-05-03,534,255,138,63,78
2019-05-04,534,255,138,63,78
2019-05-05,532,254,137,63,78
2019-05-06,532,254,137,63,78
2019-05-07,532,253,138,63,78
2019-05-08,533,255,137,63,78
2019-05-09,533,255,137,63,78
2019-05-10,533,255,137,63,78
2019-05-11,533,255,137,63,78
2019-05-12,533,255,137,63,78
2019-05-13,534,256,137,63,78
2019-05-14,535,256,137,64,78
2019-05-15,534,256,137,63,78
2019-05-16,534,257,137,62,78
2019-05-17,535,258,137,62,78
2019-05-18,535,257,138,62,78
2019-05-19,535,257,138,62,78
2019-05-20,536,258,138,62,78
2019-05-21,538,258,139,63,78
2019-05-22,538,260,138,63,77
2019-05-23,539,260,137,65,77
2019-05-24,538,260,138,63,77
2019-05-25,538,259,137,65,77
2019-05-26,539,261,138,63,77
2019-05-27,539,261,137,64,77
2019-05-28,540,261,137,65,77
2019-05-29,540,261,137,65,77
2019-05-30,541,262,137,65,77
2019-05-31,541,262,137,65,77
2019-06-01,542,263,137,65,77
2019-06-02,543,264,137,65,77
2019-06-03,545,264,137,66,78
2019-06-04,548,265,137,68,78
2019-06-05,550,265,137,70,78
2019-06-06,551,266,137,70,78
2019-06-07,552,266,137,70,79
2019-06-08,552,266,137,70,79
2019-06-09,552,266,137,70,79
2019-06-10,551,266,137,70,78
2019-06-11,551,266,137,69,79
2019-06-12,553,267,138,69,79
2019-06-13,553,268,137,69,79
2019-06-14,553,268,137,69,79
2019-06-15,554,268,138,69,79
2019-06-16,554,268,138,69,79
2019-06-17,554,268,138,69,79
2019-06-18,554,268,138,69,79
2019-06-19,554,268,138,69,79
2019-06-20,555,269,138,69,79
2019-06-21,555,269,138,69,79
2019-06-22,556,269,139,69,79
2019-06-23,556,269,139,69,79
2019-06-24,557,270,139,69,79
2019-06-25,557,270,139,69,79
2019-06-26,561,272,140,69,80
2019-06-27,562,272,140,69,81
2019-06-28,564,273,141,69,81
2019-06-29,564,273,141,69,81
2019-06-30,564,273,141,69,81
2019-07-01,565,274,141,69,81
2019-07-02,565,274,141,69,81
2019-07-03,566,274,141,69,82
2019-07-04,566,274,141,69,82
2019-07-05,566,274,141,69,82
2019-07-06,566,274,141,69,82
2019-07-07,566,274,141,69,82
2019-07-08,567,275,141,69,82
2019-07-09,567,275,141,69,82
2019-07-10,567,275,141,69,82
2019-07-11,568,276,141,69,82
2019-07-12,568,276,141,69,82
2019-07-13,568,276,141,69,82
2019-07-14,569,276,141,69,83
2019-07-15,569,276,141,69,83
2019-07-16,569,277,141,69,82
2019-07-17,569,277,141,69,82
2019-07-18,570,277,141,69,83
2019-07-19,571,278,141,69,83
2019-07-20,571,278,141,69,83
2019-07-21,571,278,141,69,83
2019-07-22,573,280,141,69,83
2019-07-23,574,281,141,69,83
2019-07-24,0,0,0,0,0
2019-07-25,574,281,141,69,83
2019-07-26,574,281,141,69,83
2019-07-27,574,281,141,69,83
2019-07-28,574,281,141,69,83
2019-07-29,575,282,141,69,83
2019-07-30,575,282,141,69,83
2019-07-31,575,282,141,69,83
2019-08-01,576,283,141,69,83
2019-08-02,578,284,141,70,83
2019-08-03,578,284,141,70,83
2019-08-04,578,284,141,70,83
2019-08-05,579,285,141,70,83
2019-08-06,579,285,141,70,83
2019-08-07,580,286,141,70,83
2019-08-08,580,286,141,70,83
2019-08-09,581,287,141,70,83
2019-08-10,581,287,141,70,83
2019-08-11,581,287,141,70,83
2019-08-12,581,287,141,70,83
2019-08-13,583,288,142,70,83
2019-08-14,584,289,142,70,83
2019-08-15,586,290,142,70,84
2019-08-16,591,294,142,71,84
2019-08-17,591,294,142,71,84
2019-08-18,592,295,142,71,84
2019-08-19,592,295,142,71,84
2019-08-20,593,296,142,71,84
2019-08-21,593,296,142,71,84
2019-08-22,594,296,142,71,85
2019-08-23,594,296,142,71,85
2019-08-24,594,296,142,71,85
2019-08-25,594,296,142,71,85
2019-08-26,594,296,142,71,85
2019-08-27,594,297,142,71,84
2019-08-28,596,298,142,71,85
2019-08-29,597,298,142,72,85
2019-08-30,599,301,142,72,84
2019-08-31,602,303,143,72,84
2019-09-01,602,303,143,72,84
2019-09-02,603,304,143,72,84
2019-09-03,604,305,143,72,84
2019-09-04,605,306,143,72,84
2019-09-05,605,306,143,72,84
2019-09-06,605,306,143,72,84
2019-09-07,606,307,143,72,84
2019-09-08,606,307,143,72,84
2019-09-09,607,308,143,72,84
2019-09-10,606,308,142,72,84
2019-09-11,608,309,143,72,84
2019-09-12,609,309,144,72,84
2019-09-13,610,309,144,72,85
2019-09-14,611,310,144,72,85
2019-09-15,611,310,144,72,85
2019-09-16,612,311,144,72,85
2019-09-17,614,312,144,73,85
2019-09-18,615,313,144,73,85
2019-09-19,615,313,144,73,85
2019-09-20,615,313,144,73,85
2019-09-21,615,313,144,73,85
2019-09-22,615,313,144,73,85
2019-09-23,618,316,144,73,85
2019-09-24,618,316,144,73,85
2019-09-25,619,317,144,73,85
2019-09-26,626,317,144,74,91
2019-09-27,0,0,0,0,0
2019-09-28,626,319,144,73,90
2019-09-29,627,320,144,73,90
2019-09-30,627,320,144,73,90
2019-10-01,628,319,144,74,91
2019-10-02,628,319,144,74,91
2019-10-03,628,319,144,74,91
2019-10-04,629,319,145,75,90
2019-10-05,629,319,144,75,91
2019-10-06,629,319,144,75,91
2019-10-07,631,321,144,75,91
2019-10-08,630,321,144,74,91
2019-10-09,630,321,144,74,91
2019-10-10,631,321,144,74,92
2019-10-11,500,244,124,61,71
2019-10-12,635,322,145,76,92
2019-10-13,635,322,145,76,92
2019-10-14,647,327,153,76,91
2019-10-15,651,328,153,75,95
2019-10-16,652,329,153,75,95
2019-10-17,652,329,153,76,94
2019-10-18,652,329,153,76,94
2019-10-19,297,132,83,30,52
2019-10-20,652,329,153,76,94
2019-10-21,654,331,153,76,94
2019-10-22,654,331,153,76,94
2019-10-23,655,332,153,76,94
2019-10-24,0,0,0,0,0
2019-10-25,656,333,153,76,94
2019-10-26,655,332,153,76,94
2019-10-27,0,0,0,0,0
2019-10-28,656,332,153,76,95
2019-10-29,0,0,0,0,0
2019-10-30,655,331,153,76,95
2019-10-31,657,332,153,76,96
2019-11-01,658,334,152,76,96
2019-11-02,658,334,152,76,96
2019-11-03,660,336,152,76,96
2019-11-04,661,337,152,76,96
2019-11-05,663,337,152,76,98
2019-11-06,663,337,152,76,98
2019-11-07,663,337,152,76,98
2019-11-08,663,338,152,76,97
2019-11-09,663,338,152,76,97
2019-11-10,663,338,152,77,96
2019-11-11,663,338,152,75,98
2019-11-12,664,339,152,77,96
2019-11-13,666,339,152,77,98
2019-11-14,666,339,152,77,98
2019-11-15,672,339,158,77,98
2019-11-16,672,339,158,77,98
2019-11-17,672,339,158,77,98
2019-11-18,672,339,158,77,98
2019-11-19,673,339,158,78,98
2019-11-20,673,339,158,78,98
2019-11-21,673,339,158,78,98
2019-11-22,674,340,158,78,98
2019-11-23,675,340,158,78,99
2019-11-24,677,341,159,78,99
2019-11-25,678,342,159,78,99
2019-11-26,689,344,168,78,99
2019-11-27,691,346,168,78,99
2019-11-28,690,344,168,79,99
2019-11-29,685,344,162,80,99
2019-11-30,686,345,162,80,99
2019-12-01,686,345,162,80,99
2019-12-02,688,347,163,79,99
2019-12-03,689,348,163,79,99
2019-12-04,689,348,163,79,99
